iter	Passed	Remaining
407	4130	5992
408	4138	5980
409	4146	5966
410	4154	5953
411	4162	5940
412	4169	5925
413	4177	5913
414	4184	5899
415	4193	5887
416	4200	5873
417	4209	5860
418	4216	5846
419	4228	5839
420	4237	5827
421	4247	5817
422	4256	5805
423	4263	5791
424	4272	5780
425	4280	5766
426	4289	5755
427	4296	5741
428	4305	5730
429	4312	5716
430	4322	5706
431	4329	5693
432	4341	5684
433	4348	5671
434	4357	5659
435	4365	5646
436	4373	5634
437	4381	5621
438	4393	5614
439	4403	5604
440	4410	5591
441	4420	5580
442	4427	5567
443	4438	5558
444	4446	5545
445	4455	5533
446	4462	5520
447	4471	5508
448	4477	5495
449	4486	5483
450	4494	5470
451	4502	5459
452	4510	5446
453	4518	5434
454	4525	5420
455	4535	5410
456	4542	5397
457	4552	5387
458	4559	5374
459	4568	5363
460	4575	5350
461	4584	5339
462	4592	5325
463	4600	5314
464	4607	5301
465	4616	5290
466	4623	5277
467	4633	5266
468	4640	5254
469	4656	5251
470	4667	5242
471	4674	5229
472	4683	5218
473	4691	5205
474	4699	5194
475	4706	5181
476	4715	5170
477	4722	5157
478	4732	5146
479	4739	5134
480	4749	5125
481	4757	5112
482	4766	5101
483	4773	5088
484	4782	5078
485	4789	5065
486	4800	5056
487	4807	5043
488	4815	5032
489	4823	5020
490	4831	5009
491	4839	4996
492	4848	4985
493	4855	4973
494	4865	4964
495	4873	4951
496	4881	4940
497	4889	4928
498	4897	4917
499	4905	4905
500	4913	4894
501	4920	4881
502	4929	4870
503	4936	4858
504	4946	4848
505	4953	4836
506	4964	4827
507	4971	4815
508	4980	4804
509	4987	4792
510	4996	4781
511	5004	4769
512	5012	4758
513	5020	4746
514	5029	4736
515	5036	4724
516	5045	4713
517	5053	4702
518	5064	4693
519	5073	4683
520	5081	4672
521	5090	4661
522	5098	4650
523	5107	4639
524	5114	4627
525	5124	4618
526	5131	4606
527	5141	4595
528	5148	4584
529	5157	4573
530	5164	4561
531	5174	4552
532	5182	4540
533	5190	4529
534	5198	4517
535	5207	4508
536	5216	4497
537	5225	4486
538	5232	4475
539	5241	4464
540	5248	4453
541	5257	4442
542	5264	4431
543	5275	4422
544	5282	4410
545	5291	4399
546	5298	4388
547	5307	4378
548	5315	4366
549	5324	4356
550	5331	4344
551	5339	4333
552	5347	4322
553	5355	4311
554	5362	4299
555	5371	4289
556	5380	4279
557	5390	4270
558	5397	4258
559	5406	4248
560	5413	4236
561	5422	4226
562	5429	4214
563	5438	4204
564	5446	4193
565	5454	4182
566	5461	4170
567	5472	4162
568	5480	4151
569	5491	4142
570	5501	4133
571	5508	4121
572	5517	4112
573	5525	4100
574	5534	4090
575	5541	4079
576	5550	4069
577	5557	4057
578	5567	4048
579	5575	4037
580	5583	4026
581	5590	4015
582	5600	4006
583	5608	3995
584	5618	3985
585	5626	3974
586	5635	3964
587	5642	3953
588	5651	3943
589	5658	3932
590	5666	3921
591	5674	3910
592	5682	3900
593	5689	3889
594	5700	3880
595	5709	3870
596	5718	3860
597	5725	3849
598	5733	3838
599	5741	3827
600	5749	3817
601	5756	3806
602	5765	3796
603	5773	3785
604	5781	3774
605	5789	3763
606	5800	3755
607	5807	3744
608	5816	3734
609	5824	3723
610	5832	3713
611	5839	3702
612	5848	3692
613	5855	3681
614	5864	3671
615	5871	3660
616	5881	3651
617	5889	3640
618	5898	3630
619	5905	3619
620	5916	3610
621	5923	3599
622	5931	3589
623	5938	3578
624	5947	3568
625	5954	3557
626	5963	3547
627	5970	3536
628	5979	3526
629	5986	3515
630	5994	3505
631	6001	3494
632	6012	3486
633	6020	3475
634	6034	3468
635	6043	3459
636	6051	3448
637	6059	3438
638	6067	3427
639	6075	3417
640	6082	3406
641	6091	3396
642	6098	3385
643	6108	3376
644	6115	3365
645	6125	3356
646	6132	3345
647	6141	3336
648	6149	3325
649	6158	3315
650	6165	3305
651	6174	3295
652	6181	3284
653	6190	3274
654	6197	3264
655	6206	3254
656	6213	3244
657	6224	3235
658	6232	3225
659	6242	3215
660	6249	3205
661	6258	3195
662	6265	3184
663	6273	3174
664	6281	3164
665	6291	3155
666	6299	3144
667	6307	3135
668	6315	3124
669	6324	3114
670	6331	3104
671	6342	3095
672	6349	3085
673	6360	3076
674	6370	3067
675	6377	3056
676	6387	3047
677	6396	3037
